route_is.ogg,Даўжыня маршруту 
route_calculate.ogg,Разлічваем новы шлях.
distance.ogg,працягласьць 
prepare_after.ogg,Падрыхтуйцеся  праз 
after.ogg,Праз 
left.ogg,павярніце налева.
left_sh.ogg,павярніце налева й трохі назад.
left_sl.ogg,павярніце трохі ўлева.
right.ogg,павярніце направа.
right_sh.ogg,павярніце направа й трохі назад.
right_sl.ogg,павярніце трохі ўправа.
left_keep.ogg,трымайцеся лявей.
right_keep.ogg,трымайцеся правей.
make_uturn.ogg,Развярніцеся.
make_uturn_wp.ogg,Развярніцеся дзе будзе магчымасьць.
roundabout.ogg,круг 
then.ogg,потым 
take.ogg,павярніце ў 
exit.ogg,выезд.
1st.ogg,першы 
2nd.ogg,другі 
3rd.ogg,трэці 
4th.ogg,чацвёрты 
5th.ogg,пяты 
6th.ogg,шосты 
7th.ogg,сёмы 
8th.ogg,восьмы 
9th.ogg,дзявяты 
10th.ogg,дзясяты 
11th.ogg,адзінаццаты 
12th.ogg,дванаццаты 
13th.ogg,трынаццаты 
14th.ogg,чатырнаццаты 
15th.ogg,пятнаццаты 
16th.ogg,шаснаццаты 
17th.ogg,сямнаццаты 
go_ahead.ogg,Рухайцеся наўпрост.
go_ahead_m.ogg,Рухайцеся наўпрост 
and_arrive_destination.ogg, і вы ў месцы прызначэньня.
and_arrive_intermediate.ogg, і вы ў кропцы шляху.
reached_intermediate.ogg,Вы ў кропцы шляху.
reached_destination.ogg,Вы ў месцы прызначэньня.
and_arrive_waypoint.ogg, і вы каля пазначанай кропкі.
reached_waypoint.ogg,Вы каля пазначанай кропкі.
attention.ogg,Увага !
new.ogg,Наперадзе - штучная няроўнасьць !
location_lost.ogg,Згубіўся сыгнал GPS.
location_recovered.ogg,Сыгнал GPS аднавіўся.
off_route.ogg,Вы адхіліліся ад маршруту на 
exceed_limit.ogg,Вы перавысілі хуткасьць !
on.ogg,на 
onto.ogg,на 
to.ogg,по 
metrau.ogg,мэтраў
kilametar.ogg, кілямэтр 
kilametry.ogg, кілямэтры 
kilametrau.ogg, кілямэтраў 
around_1_kilometer.ogg,недзе адзін кілямэтр 
around.ogg,каля 
futau.ogg,футаў
around_1_mile.ogg,каля адной мілі 
1_tenth_of_a_mile.ogg,каля адной дзясятай мілі 
tenths_of_a_mile.ogg, дзясятых мілі 
milu.ogg,мілю
mili.ogg,мілі
milau.ogg,міляў
yardau.ogg,ярдаў
time.ogg,Час 
less_a_minute.ogg,менш за хвіліну  
hour.ogg,гадзіна 
hours_y.ogg,гадзіны 
hours_au.ogg,гадзінаў 
minute.ogg,хвіліна 
minute_y.ogg,хвіліны 
minute_au.ogg,хвілінаў 
1.ogg,1
2.ogg,2
3.ogg,3
4.ogg,4
5.ogg,5
6.ogg,6
7.ogg,7
8.ogg,8
9.ogg,9
10.ogg,10
11.ogg,11
12.ogg,12
13.ogg,13
14.ogg,14
15.ogg,15
16.ogg,16
17.ogg,17
18.ogg,18
19.ogg,19
20.ogg,20
25.ogg,25
30.ogg,30
35.ogg,35
40.ogg,40
45.ogg,45
50.ogg,50
55.ogg,55
60.ogg,60
65.ogg,65
70.ogg,70
75.ogg,75
80.ogg,80
85.ogg,85
90.ogg,90
95.ogg,95
100.ogg,100
150.ogg,150
200.ogg,200
250.ogg,250
300.ogg,300
350.ogg,350
400.ogg,400
450.ogg,450
500.ogg,500
550.ogg,550
600.ogg,600
650.ogg,650
700.ogg,700
750.ogg,750
800.ogg,800
850.ogg,850
900.ogg,900
950.ogg,950
1000.ogg,1000
2000.ogg,2000
3000.ogg,3000
4000.ogg,4000
5000.ogg,5000
6000.ogg,6000
7000.ogg,7000
8000.ogg,8000
9000.ogg,9000
