route_is.ogg,La ruta té
route_calculate.ogg,Ruta recalculada 
distance.ogg,  distància
prepare.ogg,prepara't per
after.ogg,després de 
left.ogg,gira a l'esquerra
left_sh.ogg,gira fort a l'esquerra
left_sl.ogg,gira lleument a l'esquerra
right.ogg,gira a la dreta
right_sh.ogg,gira fort a la dreta
right_sl.ogg,gira lleument a la dreta
left_keep.ogg,estigues a l'esquerra
right_keep.ogg,estigues a la dreta
left_inf.ogg,girar a l'esquerra
left_sh_inf.ogg,girar fort a l'esquerra
left_sl_inf.ogg,girar lleument a l'esquerra
right_inf.ogg,girar a la dreta
right_sh_inf.ogg,girar fort a la dreta
right_sl_inf.ogg,girar lleument a la dreta
left_keep_inf.ogg,mantenir-te a l'esquerra
right_keep_inf.ogg,mantenir-te a la dreta
prepare_make_uturn.ogg,Prepara't per donar la volta després de
make_uturn.ogg,dóna la volta
make_uturn_wp.ogg,quan puguis dóna la volta
prepare_roundabout.ogg,Prepara't per entrar a la rotonda després de
roundabout.ogg,entra a la rotonda
then.ogg,. Llavors
and.ogg,i
take.ogg,pren la
exit.ogg,sortida
1st.ogg,primera
2nd.ogg,segona
3rd.ogg,tercera
4th.ogg,quarta
5th.ogg,cinquena
6th.ogg,sisena
7th.ogg,setena
8th.ogg,vuitena
9th.ogg,novena
10th.ogg,desena
11th.ogg,onzena
12th.ogg,dotzena
13th.ogg,tretzena
14th.ogg,catorzena
15th.ogg,quinzena
16th.ogg,setzena
17th.ogg,dissetena
go_ahead.ogg,Continua recte
follow.ogg,Segueix la via durant
and_arrive_destination.ogg,i arribaràs a la teva destinació
reached_destination.ogg,has arribat a la teva destinació
and_arrive_intermediate.ogg,i arribaràs al teu punt intermedi
reached_intermediate.ogg,has arribat al teu punt intermedi
and_arrive_waypoint.ogg,i arribaràs al teu punt intermedi
reached_waypoint.ogg,has arribat al teu punt intermedi
attention.ogg,atenció  
location_lost.ogg,senyal g p s perduda
location_recovered.ogg,senyal g p s trobada 
off_route.ogg,t'has desviat de la ruta
exceed_limit.ogg,límit de velocitat excedit
onto.ogg,en
to.ogg,a
meters.ogg,metres
around_1_kilometer.ogg,prop d'un quilòmetre
around.ogg,prop de
kilometers.ogg,quilòmetres
feet.ogg,peus
1_tenth_of_a_mile.ogg,una dècima de milla
tenths_of_a_mile.ogg,dècimes de milla
around_1_mile.ogg,prop d'una milla
miles.ogg,milles
yards.ogg,iardes
time.ogg,temps necessari 
1_hour.ogg,una hora 
hours.ogg,hores 
less_a_minute.ogg,menys d'un minut 
1_minute.ogg,un minut 
minutes.ogg,minuts 
20_and.ogg,vint-i- 
1.ogg,1
2.ogg,2
3.ogg,3
4.ogg,4
5.ogg,5
6.ogg,6
7.ogg,7
8.ogg,8
9.ogg,9
10.ogg,10
11.ogg,11
12.ogg,12
13.ogg,13
14.ogg,14
15.ogg,15
16.ogg,16
17.ogg,17
18.ogg,18
19.ogg,19
20.ogg,20
25.ogg,25
30.ogg,30
35.ogg,35
40.ogg,40
45.ogg,45
50.ogg,50
55.ogg,55
60.ogg,60
65.ogg,65
70.ogg,70
75.ogg,75
80.ogg,80
85.ogg,85
90.ogg,90
95.ogg,95
100.ogg,100
150.ogg,150
200.ogg,200
250.ogg,250
300.ogg,300
350.ogg,350
400.ogg,400
450.ogg,450
500.ogg,500
550.ogg,550
600.ogg,600
650.ogg,650
700.ogg,700
750.ogg,750
800.ogg,800
850.ogg,850
900.ogg,900
1000.ogg,1000
2000.ogg,2000
3000.ogg,3000
4000.ogg,4000
5000.ogg,5000
6000.ogg,6000
7000.ogg,7000
8000.ogg,8000
9000.ogg,9000
