mokutekichi_made.ogg,Mokutekichi made 
michi_wo_koushin_shimashita.ogg,Michi wo koushin shimashita
kyouri_ha.ogg,Kyouri ha 
saki.ogg,Saki 
hidari_ni_magatte_kudasai.ogg,Hidari ni magatte kudasai 
hidari_wo_eikaku_ni_magatte_kudasai.ogg,Hidari wo eikaku ni magatte kudasai 
hidari_wo_yuruyaka_ni_magatte_kudasai.ogg,Hidari wo yuruyaka ni magatte kudasai 
migi_ni_magatte_kudasai.ogg,Migi ni magatte kudasai 
migi_wo_eikaku_ni_magatte_kudasai.ogg,Migi wo eikaku ni magatte kudasai 
migi_wo_yuruyaka_ni_magatte_kudasai.ogg,Migi wo yuruyaka ni magatte kudasai
hidari_ni_yotte_kudasai.ogg,Hidari ni yotte kudasai
migi_ni_yotte_kudasai.ogg,Migi ni yotte kudasai
uturn_wo_shite_kudasai.ogg,U turn wo shite kudasai 
rotary_ga_arimasu.ogg,Rotary ga arimasu
soshite.ogg,  soshite 
rotary_no.ogg,rotary no 
no_deguchi_wo_dete_kudasai.ogg,no deguchi wo dete kudasai 
1.ogg,ichi 
2.ogg,ni 
3.ogg,san 
4.ogg,yon 
5.ogg,go 
6.ogg,roku 
7.ogg,nana 
8.ogg,hachi 
9.ogg,kyuu 
10.ogg,juu 
11.ogg,juu ichi 
12.ogg,juu ni 
13.ogg,juu san 
14.ogg,juu yon  
15.ogg,juu go 
16.ogg,juu roku 
17.ogg,juu nana 
ban_me.ogg,ban me 
chokushin_shite_kudasai.ogg,CHokushin shite kudasai 
touchaku_shimasu.ogg,touchaku shimasu 
touchaku_shimashita.ogg,touchaku shimashita 
tochuu_no_mokuteki_ni_tsukimasu.ogg,tochuu no mokuteki ni tsukimasu 
tochuu_no_mokuteki_ni_tsukimashita.ogg,tochuu no mokuteki ni tsukimashita 
waypoint_ni_tsukimasu.ogg,waypoint ni tsukimasu 
waypoint_ni_tsukimashita.ogg,waypoint ni tsukimashita 
ki_wo_tsukete.ogg,Ki wo tsukete  
kengai_desu.ogg,kengai_desu 
location_recovered.ogg,g p s signal restored 
mae_kara_michi_ga_chigaimasu.ogg,mae kara michi ga chigaimasu
speed_over_desu.ogg,Speed over desu 
ni.ogg,ni 
made.ogg,made 
meters.ogg,meters 
oyoso_1_kilo.ogg,oyoso 1 kilo 
oyoso.ogg,oyoso 
kilo.ogg,kilo 
feet.ogg,feet 
1_tenth_of_a_mile.ogg,one tenth of a mile
tenths_of_a_mile.ogg,tenths of a mile
around_1_mile.ogg,about 1 mile 
miles.ogg,miles 
yards.ogg,yards 
jikan.ogg,jikan 
ippun_inai.ogg,ippun inai 
ippun.ogg,ippun 
1.ogg,1
2.ogg,2
3.ogg,3
4.ogg,4
5.ogg,5
6.ogg,6
7.ogg,7
8.ogg,8
9.ogg,9
10.ogg,10
11.ogg,11
12.ogg,12
13.ogg,13
14.ogg,14
15.ogg,15
16.ogg,16
17.ogg,17
18.ogg,18
19.ogg,19
20.ogg,20
25.ogg,25
30.ogg,30
35.ogg,35
40.ogg,40
45.ogg,45
50.ogg,50
55.ogg,55
60.ogg,60
65.ogg,65
70.ogg,70
75.ogg,75
80.ogg,80
85.ogg,85
90.ogg,90
95.ogg,95
100.ogg,100
150.ogg,150
200.ogg,200
250.ogg,250
300.ogg,300
350.ogg,350
400.ogg,400
450.ogg,450
500.ogg,500
550.ogg,550
600.ogg,600
650.ogg,650
700.ogg,700
750.ogg,750
800.ogg,800
850.ogg,850
900.ogg,900
1000.ogg,1000
2000.ogg,2000
3000.ogg,3000
4000.ogg,4000
5000.ogg,5000
6000.ogg,6000
7000.ogg,7000
8000.ogg,8000
9000.ogg,9000
