route_is.ogg,Маршрут составляет 
route_calculate.ogg,Маршрут пересчитывается
distance.ogg,расстояние 
prepare_after.ogg,Приготовьтесь через 
after.ogg,через
left.ogg,поверните налево 
left_sh.ogg,резко поверните налево 
left_sl.ogg,плавно поверните налево  
right.ogg,поверните направо 
right_sh.ogg,резко поверните направо 
right_sl.ogg,плавно поверните направо  
left_keep.ogg,держитесь левее 
right_keep.ogg,держитесь правее 
make_uturn.ogg,Выполните разворот 
make_uturn_wp.ogg,Выполните разворот 
roundabout.ogg,круг 
then.ogg,затем 
take.ogg,Выполните 
exit.ogg,съезд 
1th.ogg,первый 
2th.ogg,вто_рой 
3th.ogg,третий 
4th.ogg,четвертый 
5th.ogg,пятый 
6th.ogg,шестой 
7th.ogg,седьмой 
8th.ogg,восьмой 
9th.ogg,девятый 
10th.ogg,десятый 
11th.ogg,одиннадцатый 
12th.ogg,двенадцатый 
13th.ogg,тринадцатый 
14th.ogg,четырнадцатый 
15th.ogg,пятнадцатый 
16th.ogg,шестнадцатый 
17th.ogg,семнадцатый 
go_ahead.ogg,Продолжайте движение прямо 
go_ahead_m.ogg,Продолжайте движение 
and_arrive_destination.ogg,и вы прибудете в пункт назначения 
and_arrive_intermediate.ogg,и вы прибудете в промежуточный пункт 
reached_intermediate.ogg,вы прибыли в промежуточный пункт
reached_destination.ogg,вы прибыли в пункт назначения 
and_arrive_waypoint.ogg,и вы прибудете к GPX точке
reached_waypoint.ogg,вы прибыли к GPX точке 
attention.ogg,Внимание  
location_lost.ogg,потерян сигнал ДЖИПИИЭС
off_route.ogg,Вы отклонились от маршрута на 
exceed_limit.ogg,Вы превысили допустимую скорость 
on.ogg,на 
onto.ogg,на 
to.ogg,по 
metrov.ogg,метров 
kilometr.ogg,километр 
kilometra.ogg,километра 
kilometrov.ogg,километров 
around_1_kilometer.ogg,около одного километра 
around.ogg,около 
footov.ogg,футов 
around_1_mile.ogg,около одной мили 
1_tenth_of_a_mile.ogg,одно десятая мили 
tenths_of_a_mile.ogg, десятых мили 
1mile.ogg,миля 
2mili.ogg,мили 
5mil.ogg,миль 
yardov.ogg,ярдов 
time.ogg,время 
less_a_minute.ogg,менее минуты  
hour.ogg,час 
hours_a.ogg,часа 
hours_ov.ogg,часов 
minute.ogg,минута 
minute_y.ogg,минуты 
minutes.ogg,минут 
1.ogg,1
2.ogg,2
3.ogg,3
4.ogg,4
5.ogg,5
6.ogg,6
7.ogg,7
8.ogg,8
9.ogg,9
10.ogg,10
11.ogg,11
12.ogg,12
13.ogg,13
14.ogg,14
15.ogg,15
16.ogg,16
17.ogg,17
18.ogg,18
19.ogg,19
20.ogg,20
25.ogg,25
30.ogg,30
35.ogg,35
40.ogg,40
45.ogg,45
50.ogg,50
55.ogg,55
60.ogg,60
65.ogg,65
70.ogg,70
75.ogg,75
80.ogg,80
85.ogg,85
90.ogg,90
95.ogg,95
100.ogg,100
150.ogg,150
200.ogg,200
250.ogg,250
300.ogg,300
350.ogg,350
400.ogg,400
450.ogg,450
500.ogg,500
550.ogg,550
600.ogg,600
650.ogg,650
700.ogg,700
750.ogg,750
800.ogg,800
850.ogg,850
900.ogg,900
950.ogg,950
1000.ogg,1000
2000.ogg,2000
3000.ogg,3000
4000.ogg,4000
5000.ogg,5000
6000.ogg,6000
7000.ogg,7000
8000.ogg,8000
9000.ogg,9000
